"sale_year","sale_month","cat1_name","goods_season","goods_num","sale_amount","origin_amount","settel_amount"
2013,4,"F风衣","1-春",2,0.45,0.06,0.45
2013,4,"F风衣","3-秋",10,1.33,2.14,1.33
2013,4,"F风衣","4-冬",-1,0.01,-0.37,0.01
2013,4,"G皮草","4-冬",-4,-3.44,-9.06,-3.44
2013,4,"H打底裤","1-春",43,1.87,2.67,1.87
2013,4,"H打底裤","2-夏",17,0.59,0.98,0.59
2013,4,"H打底裤","3-秋",6,0.15,0.32,0.15
2013,4,"H打底裤","4-冬",1,0.01,0.05,0.01
2013,4,"J马夹","2-夏",11,0.57,0.99,0.57
2013,4,"J马夹","3-秋",14,0.38,1.04,0.38
2013,4,"K梭织裤","1-春",215,12.08,17.93,12.08
2013,4,"K梭织裤","2-夏",547,23.83,43.95,23.83
2013,4,"K梭织裤","3-秋",57,3.3,5.55,3.3
2013,4,"K梭织裤","4-冬",-23,-1.6,-4.04,-1.6
2013,4,"L连衣裙","1-春",158,14.55,20.46,14.55
2013,4,"L连衣裙","2-夏",597,42.85,84.89,42.85
2013,4,"L连衣裙","3-秋",61,3.63,8.01,3.63
2013,4,"L连衣裙","4-冬",-4,-0.3,-0.79,-0.3
2013,4,"M棉衣","4-冬",-49,-3.66,-9.95,-3.66
2013,4,"N牛仔裤","1-春",92,6.95,10.34,6.95
2013,4,"N牛仔裤","2-夏",237,12.58,22.51,12.58
2013,4,"N牛仔裤","3-秋",33,2.16,4.03,2.16
2013,4,"N牛仔裤","4-冬",8,0.8,1.05,0.8
2013,4,"P皮衣","1-春",2,0.6,0.76,0.6
2013,4,"P皮衣","3-秋",-2,-0.33,-1.25,-0.33
2013,4,"P皮衣","4-冬",-13,-3.98,-10.46,-3.98
2013,4,"Q腰裙","1-春",14,0.57,1,0.57
2013,4,"Q腰裙","2-夏",8,0.48,0.88,0.48
2013,4,"Q腰裙","3-秋",1,0.02,0.08,0.02
2013,4,"Q腰裙","4-冬",-8,-0.27,-0.71,-0.27
2013,4,"S饰品","1-春",17,0.73,1.02,0.73
2013,4,"S饰品","2-夏",13,0.36,0.5,0.36
2013,4,"S饰品","3-秋",8,0.47,1.06,0.47
2013,4,"S饰品","4-冬",5,0.11,0.42,0.11
2013,4,"T恤","1-春",180,6.84,12.23,6.84
2013,4,"T恤","2-夏",981,41.21,75.74,41.21
2013,4,"T恤","3-秋",223,6.28,17.69,6.28
2013,4,"W外套","1-春",28,3.32,3.43,3.32
2013,4,"W外套","2-夏",11,0.41,0.98,0.41
2013,4,"W外套","3-秋",23,1.76,3.2,1.76
2013,4,"W外套","4-冬",-17,-1.69,-4.25,-1.69
2013,4,"X西装","1-春",69,5.94,8.17,5.94
2013,4,"X西装","3-秋",50,2.9,6.04,2.9
2013,4,"X西装","4-冬",1,0.07,0.18,0.07
2013,4,"Y羽绒服","4-冬",-61,-8.26,-21.73,-8.26
2013,5,"女装","1-春",848,14.46,66.21,14.46
2013,5,"女装","3-秋",20,0.69,2.22,0.69
2013,5,"未定义","5-未定义",16,0.3,1.36,0.3
2013,5,"A针织衫","1-春",-62,-2.99,-8.09,-2.99
2013,5,"A针织衫","2-夏",1,0.22,0.13,0.22
2013,5,"A针织衫","3-秋",13,0.22,1.56,0.22
2013,5,"A针织衫","4-冬",-15,-1.37,-2.69,-1.37
2013,5,"B背心","1-春",1,0.04,0.1,0.04
2013,5,"B背心","2-夏",68,2.37,5.43,2.37
2013,5,"B背心","3-秋",24,0.39,0.48,0.39
2013,5,"C衬衣","1-春",26,1.88,1.86,1.88
2013,5,"C衬衣","2-夏",316,16.33,28.6,16.33
2013,5,"C衬衣","3-秋",32,1.42,4.04,1.42
2013,5,"E上衣","1-春",-39,-1.19,-3.23,-1.19
2013,5,"E上衣","2-夏",205,14.1,20.25,14.1
2013,5,"F风衣","1-春",-9,-0.45,-1.44,-0.45
2013,5,"F风衣","3-秋",3,0.19,0.63,0.19
2013,5,"F风衣","4-冬",1,0.08,0.26,0.08
2013,5,"G皮草","4-冬",1,0.1,0.5,0.1
2013,5,"H打底裤","1-春",2,0.31,0.13,0.31
2013,5,"H打底裤","2-夏",9,0.27,0.52,0.27
2013,5,"H打底裤","3-秋",4,0.08,0.14,0.08
2013,5,"H打底裤","4-冬",2,0.05,0.16,0.05
2013,5,"J马夹","2-夏",-3,-0.13,-0.33,-0.13
2013,5,"J马夹","3-秋",6,0.13,0.44,0.13
2013,5,"K梭织裤","1-春",111,6.64,7.52,6.64
2013,5,"K梭织裤","2-夏",769,38.98,62.27,38.98
2013,5,"K梭织裤","3-秋",43,1.95,4,1.95
2013,5,"K梭织裤","4-冬",7,0.23,0.7,0.23
2013,5,"L连衣裙","1-春",9,3.35,0.76,3.35
2013,5,"L连衣裙","2-夏",807,62.18,105,62.18
2013,5,"L连衣裙","3-秋",60,3.07,8.08,3.07
2013,5,"M棉衣","4-冬",1,0.11,0.24,0.11
2013,5,"N牛仔裤","1-春",35,2.27,2.92,2.27
2013,5,"N牛仔裤","2-夏",215,12.04,20.05,12.04
2013,5,"N牛仔裤","3-秋",29,1.37,3.27,1.37
2013,5,"N牛仔裤","4-冬",-4,-0.3,-0.59,-0.3
2013,5,"P皮衣","1-春",1,0.71,0.88,0.71
2013,5,"P皮衣","3-秋",1,0.19,0.38,0.19
2013,5,"P皮衣","4-冬",1,0.08,0.4,0.08
2013,5,"Q腰裙","1-春",-10,-0.26,-0.74,-0.26
2013,5,"Q腰裙","2-夏",1,-0.04,-0.12,-0.04
2013,5,"Q腰裙","3-秋",1,0.03,0.07,0.03
2013,5,"S饰品","1-春",5,0.32,0.53,0.32
2013,5,"S饰品","2-夏",9,0.17,0.48,0.17
2013,5,"S饰品","3-秋",12,0.55,1.21,0.55
2013,5,"S饰品","4-冬",4,-0.06,-0.06,-0.06
2013,5,"T恤","1-春",112,4.07,7.46,4.07
2013,5,"T恤","2-夏",1269,58.19,98.17,58.19
2013,5,"T恤","3-秋",194,6.11,14.75,6.11
2013,5,"W外套","1-春",-14,-0.56,-2.13,-0.56
2013,5,"W外套","2-夏",6,0.22,0.53,0.22
2013,5,"W外套","3-秋",9,0.43,1.4,0.43
2013,5,"X西装","1-春",1,0.85,-0.33,0.85
2013,5,"X西装","3-秋",17,0.75,1.84,0.75
2013,5,"X西装","4-冬",1,0.09,0.18,0.09
2013,5,"Y羽绒服","4-冬",-2,-0.76,-1.63,-0.76
2013,6,"女装","1-春",1099,17.46,83.66,17.31
2013,6,"女装","3-秋",17,0.41,1.49,0.41
2013,6,"未定义","2-夏",2,0.05,0.18,0.05
2013,6,"未定义","5-未定义",9,0.15,0.78,0.15
2013,6,"A针织衫","1-春",-9,-0.46,-1.15,-0.46
2013,6,"A针织衫","2-夏",0,0.14,0,0.14
2013,6,"A针织衫","3-秋",5,0.19,0.78,0.19
